Machine ID,Location,Polling center,Clustered precinct,Precincts in the cluster,Abstentions,Number of registered voters,No. of voters who actually voted,No. of valid ballots cast,Turnout (%),cluster_id,Clustered Precinct Extracted
HPM180PA01001024,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN BARTOLOME",GOODWILL CLUB HOUSE,74041224,"2671A,2671B,2671C,2672A,2672B",1,997,622,622,62.38,74041224,74041224
HPM180PA01001031,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",COMMONWEALTH HIGH SCHOOL,74040471,"1797B, 1797C, 1797D, 1797E",0,799,516,516,64.58,74040471,74040471
HPM180PA01001055,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 36",ISABELO DELOS REYES ELEM. SCHOOL,39010074,"0108B, 0109A, 0109B, 0109C, 0109P1",0,528,406,406,76.89,39010074,39010074
HPM180PA01001057,"NCR, TAGUIG - PATEROS, TAGUIG, USUSAN",USUSAN ELEMENTARY SCHOOL,76070359,"0943B, 0944A, 0945A, 0946A, 0946B",3,987,673,673,68.18,76070359,76070359
HPM180PA01001076,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, MAPULANG LUPA",APOLONIA F. RAFAEL ELEMENTARY SCHOOL,75040311,"0866B, 0866C, 0867A, 0867B, 0867C",0,956,755,755,78.97,75040311,75040311
HPM180PA01001149,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGONG SILANGAN",BAGONG SILANGAN ELEMENTARY SCHOOL,74040504,"1851A, 1851B, 1852A, 1852B, 1853A",3,965,663,663,68.7,74040504,74040504
HPM180PA01001241,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, B. F. HOMES",B. F. MULTI-PURPOSE HALL PHASE 1,76040170,"0519B, 0519C, 0520A, 0520B, 0521A",1,984,661,661,67.17,76040170,76040170
HPM180PA01001282,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 23",SAMPALUKAN ELEMENTARY SCHOOL,75010625,"1876F, 1877A, 1878A, 1879A, 1880A, 1880B, 1881A, 1881P1",0,919,619,619,67.35,75010625,75010625
HPM180PA01001294,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, ALMANZA UNO",ALMANZA ELEMENTARY SCHOOL,76010313,"0607I, 0607J, 0607K, 0608A, 0608B, 0608C",0,930,613,613,65.91,76010313,76010313
HPM180PA01001398,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, B. F. HOMES",B. F. MULTI-PURPOSE HALL PHASE 1,76040174,"0533B, 0534A, 0535A, 0536A",1,788,565,565,71.7,76040174,76040174
HPM180PA01001401,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 167",LLANO ELEM. SCHOOL,75010161,"0627B, 0627C, 0627D, 0628A, 0628B",1,952,664,664,69.74,75010161,75010161
HPM180PA01001413,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MATANDANG BALARA",OLD BALARA ELEMENTARY SCHOOL (FORMERLY ANNEX),74040741,"4324A, 4325A, 4325B, 4325C, 4325D",0,951,657,657,69.08,74040741,74040741
HPM180PA01001439,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SANTO DOMINGO (MATALAHIB)",ANGELICUM COLLEGE GYMNASIUM,74040160,"0857A, 0858A, 0859A, 0860A",2,792,561,561,70.83,74040160,74040160
HPM180PA01001442,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MAHARLIKA",E. RODRIGUEZ JR. HIGH SCHOOL,74040227,"1209A, 1210A, 1211A, 1212A, 1213A",0,824,558,558,67.71,74040227,74040227
HPM180PA01001450,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 210",PLARIDEL ELEMENTARY SCHOOL,39010419,"0851A, 0851B, 0852A, 0852B, 0852C, 0853A",2,949,683,683,71.97,39010419,39010419
HPM180PA01001578,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, GULOD",ROSA SUSANO ELEMENTARY SCHOOL (NOVALICHES ELEMENTARY SCHOOL),74041181,"2549A,2550A,2551A,2552A,2553A",1,999,648,648,64.86,74041181,74041181
HPM180PA01001585,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, MARIKINA HEIGHTS (CONCEPCION)",KAPITAN MOY ELEMENTARY AND MARIKINA HEIGHTS HIGH SCHOOL,74020198,"0807C, 0808A, 0808B, 0809A, 0809B",1,931,712,712,76.47,74020198,74020198
HPM180PA01001620,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",COMMONWEALTH ELEMENTARY SCHOOL,74040393,"1598E, 1598F, 1598G, 1599A, 1599B",1,1000,600,600,60.0,74040393,74040393
HPM180PA01001684,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, SAN JUAN CITY, BATIS",SAN PERFECTO ELEMENTARY SCHOOL,74050013,"0055A, 0056A, 0057A, 0058A, 0059A",0,838,659,659,78.63,74050013,74050013
HPM180PA01001858,"NCR, TAGUIG - PATEROS, TAGUIG, WESTERN BICUTAN",TENEMENT ELEMENTARY SCHOOL,76070412,"1103B, 1104A, 1105A, 1105B, 1106A",1,953,687,687,72.08,76070412,76070412
HPM180PA01002007,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 176",BAGONG SILANG HIGH SCHOOL (KALAYAAN ANNEX),75010339,"1127B, 1128A, 1128B, 1129A, 1130A",0,757,517,517,68.29,75010339,75010339
HPM180PA01002026,"NCR, TAGUIG - PATEROS, TAGUIG, SOUTH SIGNAL VILLAGE",KAPITAN JOSE CARDONES MEMORIAL ELEMENTARY SCHOOL,76070281,"0689A, 0690A, 0691A, 0692A, 0693A",0,999,714,714,71.47,76070281,76070281
HPM180PA01002086,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, POBLACION",ITAAS ELEMENTARY SCHOOL (ANNEX),76030156,"0308V, 0308W, 0308X, 0308Y, 0308Z",2,971,615,615,63.33,76030156,76030156
HPM180PA01002155,"NCR, TAGUIG - PATEROS, PATEROS, SANTA ANA",CAPT. H. FRANCISCO ELEMENTARY SCHOOL - MAIN,76060028,"0095B, 0096A, 0096B, 0097A, 0097B",2,874,628,628,71.85,76060028,76060028
HPM180PA01002232,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, MARCELO GREEN VILLAGE",MULTI-PURPOSE GYM,76040257,"0831A, 0832A, 0833A, 0834A, 0835A",2,882,661,661,74.94,76040257,76040257
HPM180PA01002256,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PANSOL",BALARA ELEMENTARY SCHOOL,74040719,"4236A, 4236B, 4236C, 4237A, 4238A",1,895,726,726,81.11,74040719,74040719
HPM180PA01002288,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, HULO",HULO INTEGRATED SCHOOL,74010161,"0526A, 0526B, 0526C, 0527A, 0528A",1,917,597,597,65.1,74010161,74010161
HPM180PA01002404,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAHAY TORO",TORO HILLS ELEMENTARY SCHOOL,74040061,"0312A, 0313A, 0314A, 0315A, 0316A",3,928,600,600,64.65,74040061,74040061
HPM180PA01002516,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SUN VALLEY",SUN VALLEY ELEMENTARY SCHOOL,76040295,"0980A, 0981A, 0982A, 0983A",0,796,615,615,77.26,76040295,76040295
HPM180PA01002537,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, UNANG SIGAW",BONIFACIO MEMORIAL ELEMENTARY SCHOOL,74041358,"3107A, 3108A, 3109A, 3110A, 3111A",1,948,691,691,72.89,74041358,74041358
HPM180PA01002539,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, SAN JUAN CITY, CORAZON DE JESUS",SAN JUAN NATIONAL HIGH SCHOOL,74050016,"0067B, 0068A, 0069A, 0069B, 0070A, 0070B",0,922,664,664,72.01,74050016,74050016
HPM180PA01002620,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, MANGGAHAN","SAN LORENZO RUIZ ELEMENTARY SCHOOL,",74030220,"0654A, 0655A, 0656A, 0656B, 0656C, 0657A",0,929,729,729,78.47,74030220,74030220
HPM180PA01002640,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 157",APELO ELEM. SCHOOL,76050120,"0542A,0542B,0543A,0543B",4,639,461,461,72.14,76050120,76050120
HPM180PA01002658,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN ISIDRO",SAV 6 MULTI PURPOSE HALL,76040125,"0389B, 0390A, 0390B, 0391A, 0391B",0,844,613,613,72.63,76040125,76040125
HPM180PA01002833,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 187",A. MABINI ELEM. SCHOOL,75010521,"1669A, 1669B, 1670A, 1670B, 1671A",0,1000,694,694,69.4,75010521,75010521
HPM180PA01002949,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, INDUSTRIAL VALLEY",MONTE VISTA MULTI-PURPOSE HALL,74020112,"0500A, 0501A, 0502A, 0502B, 0503A, 0504A, 0505A",1,688,530,530,77.03,74020112,74020112
HPM180PA01002955,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, ADDITION HILLS",JOSE FABELLA MEMORIAL SCHOOL,74010066,"0145D, 0146A, 0146B, 0146P1",1,797,472,472,59.22,74010066,74010066
HPM180PA01002962,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, SAN ROQUE",SAN ROQUE ELEMENTARY SCHOOL,74020008,"0042B, 0042C, 0043A, 0043B, 0043C, 0044A",0,938,699,699,74.52,74020008,74020008
HPM180PA01003035,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PASONG PUTIK PROPER (PASONG PUTIK)",MALIGAYA ELEMENTARY SCHOOL,74041080,"2209H,2209I,2209J,2209K,2209L",2,984,684,684,69.51,74041080,74041080
HPM180PA01003051,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN DIONISIO",PARAÑAQUE ELEMENTARY SCHOOL CENTRAL,76040093,"0299D, 0299E, 0299F, 0299G, 0299H, 0299P1",0,654,402,402,61.46,76040093,76040093
HPM180PA01003112,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, TONSUYA",TONSUYA ELEMENTARY SCHOOL,75020161,"0408B,0408C,0408D,0409A",2,781,558,558,71.44,75020161,75020161
HPM180PA01003118,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 20",ROSAURO ALMARIO ELEM. SCHOOL,39010039,"0052Q, 0052R, 0052S, 0053A, 0053B",0,984,817,817,83.02,39010039,39010039
HPM180PA01003310,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PALTOK",PALTOK ELEMENTARY SCHOOL,74040123,"0656A, 0657A, 0658A, 0659A, 0660A, 0661A, 0662A",0,855,644,644,75.32,74040123,74040123
HPM180PA01003317,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SANTA LUCIA",DE CASTRO ELEMENTARY SCHOOL,74030467,"1452A, 1453A, 1454A, 1455A, 1456A, 1456B, 1457A",2,940,679,679,72.23,74030467,74030467
HPM180PA01003374,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, SUCAT",SUCAT ELEMENTARY SCHOOL,76030364,"0708I, 0709A, 0709B, 0709C, 0709D",0,986,563,563,57.09,76030364,76030364
HPM180PA01003378,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PAG-IBIG SA NAYON",PAG IBIG SA NAYON ELEMENTARY SCHOOL,74040190,"1004A, 1005A, 1006A, 1007A",1,800,559,559,69.87,74040190,74040190
HPM180PA01003424,"NCR, TAGUIG - PATEROS, TAGUIG, CALZADA",TIPAS NATIONAL HIGH SCHOOL,76070080,"0194A, 0194B, 0195A, 0196A, 0196B",0,990,733,733,74.04,76070080,76070080
HPM180PA01003466,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, POBLACION","MUNTINLUPA NATIONAL HIGH SCHOOL,",76030133,"0296B, 0297A, 0297B, 0297C, 0298A",0,969,643,643,66.35,76030133,76030133
HPM180PA01003526,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 261",GENERAL MAXIMINO HIZON ELEMENTARY SCHOOL,39010494,"1067A, 1067B, 1067C, 1067D",0,611,397,397,64.97,39010494,39010494
HPM180PA01003611,"NCR, TAGUIG - PATEROS, TAGUIG, SOUTH DAANG HARI",BAGONG TANYAG ELEMENTARY SCHOOL- MAIN,76070035,"0098F, 0098G, 0098H, 0098I, 0099A",2,999,747,747,74.77,76070035,76070035
HPM180PA01003678,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, HOLY SPIRIT",DOÑA JUANA ELEMENTARY SCHOOL,74040272,"1355A, 1356A, 1357A, 1358A, 1359A",1,987,665,665,67.37,74040272,74040272
HPM180PA01003813,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, CONCEPCION DOS",SSS ELEMENTARY SCHOOL,74020192,"0783B, 0783C, 0784A, 0784B, 0785A, 0791P3",1,928,660,660,71.12,74020192,74020192
HPM180PA01003999,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 22",SAMPALUKAN ELEMENTARY SCHOOL,75010620,"1866A, 1866B, 1866C, 1866D, 1866E",1,917,649,649,70.77,75010620,75010620
HPM180PA01004021,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN AGUSTIN",SAN AGUSTIN ELEMENTARY SCHOOL,74041114,"2316B,2317A,2318A,2319A,2320A,2321A",0,857,564,564,65.81,74041114,74041114
HPM180PA01004138,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 73",GOMBURZA ELEM. SCHOOL (FORMERLY C. APOSTOL ELEM. SCHOOL),75010757,"2217F, 2217G, 2217H, 2217I",0,779,490,490,62.9,75010757,75010757
HPM180PA01004219,"NCR, TAGUIG - PATEROS, TAGUIG, FORT BONIFACIO",TENEMENT ELEMENTARY SCHOOL,76070393,"1034B, 1034C, 1035A, 1036A, 1036B",1,991,666,666,67.2,76070393,76070393
HPM180PA01004236,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, RIZAL",RIZAL ELEMENTARY SCHOOL,76020500,"1251A, 1252A, 1252B, 1253A, 1253B, 1254A, 1255C",1,948,692,692,72.99,76020500,76020500
HPM180PA01004282,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BALONG BATO",BALONG BATO ELEMENTARY SCHOOL,74041353,"3088A, 3089A, 3090A, 3091A, 3092A",2,921,634,634,68.83,74041353,74041353
HPM180PA01004356,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 254",GENERAL MAXIMINO HIZON ELEMENTARY SCHOOL,39010484,"1037B, 1038A, 1038B, 1039A, 1040A, 1040B, 1040P1",1,944,666,666,70.55,39010484,39010484
HPM180PA01004371,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN DIONISIO",PARAÑAQUE ELEMENTARY SCHOOL CENTRAL,76040082,"0259B, 0260A, 0260B, 0261A, 0261B, 0261C",2,862,589,589,68.32,76040082,76040082
HPM180PA01004518,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",COMMONWEALTH HIGH SCHOOL,74040446,"1709C, 1709D, 1710A, 1710B, 1710C",2,988,722,722,73.07,74040446,74040446
HPM180PA01004546,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, LONGOS",LONGOS ELEMENTARY SCHOOL,75020167,"0418A,0418B,0419A,0419B",5,708,543,543,76.69,75020167,75020167
HPM180PA01004634,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 171",FLORENTINO TORRES HIGH SCHOOL,39010352,"0657A, 0657B, 0658A, 0658B, 0659A, 0659P1",1,779,553,553,70.98,39010352,39010352
HPM180PA01004706,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 100",P. ZAMORA ELEMENTARY SCHOOL,76050251,"0391A, 0391B, 0392A, 0392B, 0392C, 0392P1",1,968,713,713,73.65,76050251,76050251
HPM180PA01004721,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, DELA PAZ",DELA PAZ ELEMENTARY SCHOOL,74030196,"0583A, 0584A, 0584B, 0584C, 0585A",0,917,630,630,68.7,74030196,74030196
HPM180PA01004747,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 165",T. PAEZ ELEMENTARY SCHOOL,76050327,"0563A, 0563B, 0563C, 0564A, 0564B",0,851,596,596,70.03,76050327,76050327
HPM180PA01004785,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, LIBIS",LIBIS ELEMENTARY SCHOOL,74040683,"4038A, 4039A, 4040A, 4041A, 4042A, 4043A, 4049P1",1,889,652,652,73.34,74040683,74040683
HPM180PA01004805,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, WEST KAMIAS",QUIRINO ELEMENTARY SCHOOL,74040653,"3901A, 3902A, 3903A, 3904A, 3905A",1,661,462,462,69.89,74040653,74040653
HPM180PA01004844,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, ALMANZA DOS",T.S. CRUZ HIGH SCHOOL,76010335,"0633C, 0633D, 0633E, 0634A, 0634B",1,944,562,562,59.53,76010335,76010335
HPM180PA01004861,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 34",ISABELO DELOS REYES ELEM. SCHOOL,39010070,"0102A, 0102B, 0102C, 0102P1",1,516,385,385,74.61,39010070,39010070
HPM180PA01005056,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, APOLONIO SAMSON",APOLONIO SAMSON ELEMENTARY SCHOOL,74041365,"3137A, 3138A, 3139A, 3140A, 3141A",0,886,589,589,66.47,74041365,74041365
HPM180PA01005279,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, HEN. T. DE LEON",GEN. T. DE LEON NATIONAL HIGH SCHOOL,75040293,"0826A, 0826B, 0826C, 0827A, 0827B",0,949,723,723,76.18,75040293,75040293
HPM180PA01005299,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGBAG",BAGBAG ELEMENTARY SCHOOL,74041241,"2700A,2700B,2701A,2701B,2702A",0,956,724,724,75.73,74041241,74041241
HPM180PA01005328,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, POST PROPER SOUTHSIDE",FORT BONIFACIO HIGH SCHOOL,76020419,"1151B, 1151C, 1152A, 1152B, 1152C",4,858,636,636,74.12,76020419,76020419
HPM180PA01005422,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 209",PLARIDEL ELEMENTARY SCHOOL,39010417,"0845B, 0846A, 0847A, 0847B, 0848A",1,787,475,475,60.35,39010417,39010417
HPM180PA01005456,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SACRED HEART",QUEZON CITY HIGH SCHOOL,74040797,"4613A,4614A,4615A,4616A,4617A,4617P1",1,776,558,558,71.9,74040797,74040797
HPM180PA01005524,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 231",FLORENTINO TORRES HIGH SCHOOL,39010455,"0959A, 0960A, 0961A, 0961B, 0962A",0,722,527,527,72.99,39010455,39010455
HPM180PA01005626,"NCR, TAGUIG - PATEROS, TAGUIG, SANTA ANA",TAGUIG ELEMENTARY SCHOOL,76070303,"0766A, 0766B, 0766C, 0766P1",2,767,562,562,73.27,76070303,76070303
HPM180PA01005639,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN DIONISIO",PARAÑAQUE NATIONAL HIGH SCHOOL - MAIN,76040102,"0318B, 0319A, 0320A, 0320B, 0321A, 0321B",0,901,637,637,70.69,76040102,76040102
HPM180PA01005723,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BATASAN HILLS",PRES. CORAZON C. AQUINO ELEMENTARY SCHOOL,74040314,"1442F, 1442G, 1443A, 1443B, 1443C",3,979,664,664,67.82,74040314,74040314
HPM180PA01005859,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, APOLONIO SAMSON",APOLONIO SAMSON ELEMENTARY SCHOOL,74041372,"3170A, 3170B, 3171A, 3172A, 3173A",0,928,616,616,66.37,74041372,74041372
HPM180PA01005860,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN DIONISIO",PARAÑAQUE ELEMENTARY SCHOOL CENTRAL,76040073,"0236A, 0236B, 0237A, 0237B, 0238A",1,925,660,660,71.35,76040073,76040073
HPM180PA01005924,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, BACLARAN",BACLARAN ELEMENTARY SCHOOL UNIT-2,76040018,"0060A, 0061A, 0062A, 0062B, 0063A, 0063B, 0064A, 0064B, 0065A, 0066A",2,960,635,635,66.14,76040018,76040018
HPM180PA01005971,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 28",KASARINLAN ELEM. SCHOOL,75010646,"1935A, 1936A, 1936B, 1936C, 1936D",3,940,617,617,65.63,75010646,75010646
HPM180PA01006033,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SANTA LUCIA",DE CASTRO ELEMENTARY SCHOOL,74030454,"1390A, 1390B, 1391A, 1391B, 1391C, 1392A",0,932,660,660,70.81,74030454,74030454
HPM180PA01006111,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 17",ROSAURO ALMARIO ELEM. SCHOOL,39010027,"0044A, 0044B, 0044C, 0044D, 0044P1",3,460,342,342,74.34,39010027,39010027
HPM180PA01006230,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 168",DEPARO ELEM. SCHOOL,75010168,"0639B, 0639C, 0640A, 0640B, 0641A",0,921,569,569,61.78,75010168,75010168
HPM180PA01006243,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, ADDITION HILLS",ANDRES BONIFACIO INTEGRATED SCHOOL,74010030,"0105D, 0106A, 0106B, 0106C, 0106D",1,993,702,702,70.69,74010030,74010030
HPM180PA01006476,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, COMEMBO",BENIGNO AQUINO HIGH SCHOOL,76020271,"0797A, 0797B, 0798A, 0798B, 0798C, 0799C",2,973,724,724,74.4,76020271,76020271
HPM180PA01006477,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, MANGGAHAN","PASIG GREEN PARK VILLAGE CLUBHOUSE,",74030228,"0676B, 0679A, 0679B, 0680A, 0680B, 0681A",2,817,652,652,79.8,74030228,74030228
HPM180PA01006602,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, OLYMPIA",MAGSAYSAY ELEMENTARY SCHOOL,76020089,"0311A, 0311B, 0312A, 0313A, 0313B, 0314A, 0323B",0,966,707,707,73.18,76020089,76020089
HPM180PA01006715,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, SANTO NIÑO",STO. NIÑO ELEMENTARY SCHOOL,74020068,"0283A, 0284A, 0285A, 0285B, 0286A, 0287A, 0287B, 0288A, 0289A",0,977,718,718,73.49,74020068,74020068
HPM180PA01006737,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGBAG",REMARVILLE COVERED COURT,74041266,"2774B,2774C,2774D,2774E",1,758,557,557,73.48,74041266,74041266
HPM180PA01006775,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 105",ANTONIO J. VILLEGAS VOCATIONAL HIGH SCHOOL,39010210,"0374A, 0374B, 0375A, 0375B, 0376A",1,896,623,623,69.53,39010210,39010210
HPM180PA01006912,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",PINAGBUHATAN HIGH SCHOOL,74030286,"0885A, 0886A, 0887A, 0888A, 0888B",1,990,749,749,75.65,74030286,74030286
HPM180PA01006914,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, CUPANG","CUPANG ELEMENTARY SCHOOL,",76030307,"0571A, 0571B, 0571C, 0572A, 0573A, 0574A, 0575A, 0576A, 0576B",1,978,596,596,60.94,76030307,76030307
HPM180PA01006973,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, POBLACION",ITAAS ELEMENTARY SCHOOL (ANNEX),76030138,"0306AE, 0306AF, 0306AG, 0306AH, 0306AI",0,972,776,776,79.83,76030138,76030138
HPM180PA01006999,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, POST PROPER NORTHSIDE",FORT BONIFACIO HIGH SCHOOL,76020404,"1134A, 1134B, 1134C, 1135A, 1135B",0,966,499,499,51.65,76020404,76020404
HPM180PA01007137,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, DON BOSCO",F. SERRANO SR. ELEMENTARY SCHOOL,76040288,"0959A, 0960A, 0961A, 0962A, 0962P1",0,813,582,582,71.58,76040288,76040288
HPM180PA01007154,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, PULANG LUPA DOS",LAS PIÑAS NORTH NATIONAL HIGH SCHOOL,76010090,"0225D, 0226A, 0226B, 0226C, 0226P1",0,756,421,421,55.68,76010090,76010090
HPM180PA01007166,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, MARIKINA HEIGHTS (CONCEPCION)",KAPITAN MOY ELEMENTARY AND MARIKINA HEIGHTS HIGH SCHOOL,74020212,"0845C, 0845D, 0846A, 0847A, 0848A, 0849A, 0850A, 0850P3",1,865,643,643,74.33,74020212,74020212
HPM180PA01007222,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 253",GENERAL MAXIMINO HIZON ELEMENTARY SCHOOL,39010482,"1028A, 1029A, 1030A, 1031A, 1032A, 1032B, 1033A, 1033B, 1034A, 1034B, 1034P1",1,989,672,672,67.94,39010482,39010482
