Machine ID,Location,Polling center,Clustered precinct,Precincts in the cluster,Abstentions,Number of registered voters,No. of voters who actually voted,No. of valid ballots cast,Turnout (%),cluster_id,Clustered Precinct Extracted
HPM180PA01028939,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, MALANDAY",MALANDAY ELEMENTARY SCHOOL,74020055,"0230B, 0231A, 0232A, 0233A, 0234A",1,919,734,734,79.86,74020055,74020055
HPM180PA01029184,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MATANDANG BALARA",NORTH SUSANA CLUBHOUSE,74040759,"4384C, 4384D, 4384E, 4384F, 4384G",0,783,512,512,65.38,74040759,74040759
HPM180PA01029219,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 101",EULOGIO RODRIGUEZ ELEM. SCHOOL,75010792,"2324A, 2324B, 2325A, 2326A, 2327A",1,692,447,447,64.59,75010792,75010792
HPM180PA01029260,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, PARANG",PARANG ELEMENTARY SCHOOL,74020214,"0856A, 0857A, 0858A, 0859A, 0860A, 0861A",2,869,694,694,79.86,74020214,74020214
HPM180PA01029502,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",MANUEL L. QUEZON ELEMENTARY SCHOOL,74040435,"1687E, 1687F, 1687G, 1688A, 1689A",2,985,674,674,68.42,74040435,74040435
HPM180PA01029541,"NCR, TAGUIG - PATEROS, TAGUIG, USUSAN",USUSAN ELEMENTARY SCHOOL,76070368,"0955R, 0955S, 0955T, 0955U, 0955V",0,1000,584,584,58.4,76070368,76070368
HPM180PA01029564,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN DIONISIO",PARAÑAQUE ELEMENTARY SCHOOL CENTRAL,76040080,"0253B, 0254A, 0254B, 0255A, 0255B, 0256A",6,970,674,674,69.48,76040080,76040080
HPM180PA01029653,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN ISIDRO LABRADOR",RAMON MAGSAYSAY ELEMENTARY SCHOOL,74040211,"1114A, 1115A, 1116A, 1117A, 1118A, 1119A",0,919,637,637,69.31,74040211,74040211
HPM180PA01029680,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN BARTOLOME",GOODWILL CLUB HOUSE,74041226,"2675A,2676A,2677A,2677B,2677C",0,989,591,591,59.75,74041226,74041226
HPM180PA01029726,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, CUPANG","CUPANG ELEMENTARY SCHOOL,",76030309,"0580B, 0581A, 0581B, 0582A, 0582B, 0582C",0,933,496,496,53.16,76030309,76030309
HPM180PA01029729,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, ADDITION HILLS",JOSE FABELLA MEMORIAL SCHOOL,74010049,"0123A, 0123B, 0124A, 0124B, 0124C",3,991,716,716,72.25,74010049,74010049
HPM180PA01029761,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 176",KALAYAAN ELEM. SCHOOL,75010319,"1069A, 1069B, 1070A, 1070B, 1071A",3,968,699,699,72.21,75010319,75010319
HPM180PA01029832,"NCR, TAGUIG - PATEROS, TAGUIG, MAHARLIKA VILLAGE",MAHARLIKA ELEMENTARY SCHOOL,76070185,"0436A, 0436B, 0436C, 0436D, 0437A",1,966,495,495,51.24,76070185,76070185
HPM180PA01029857,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, MOONWALK",COL. E. DE LEON ELEMENTARY SCHOOL,76040355,"1148D, 1148E, 1148F, 1148G, 1148H",2,866,637,637,73.55,76040355,76040355
HPM180PA01029921,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 61",EPIFANIO DELOS SANTOS ELEMENTARY SCHOOL,76050225,"0253A, 0253B, 0253C, 0253D, 0255D",0,881,624,624,70.82,76050225,76050225
HPM180PA01029933,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 67",MANUEL L. QUEZON ELEM. SCHOOL,39010135,"0239A, 0239B, 0240A, 0241A, 0241B",3,928,653,653,70.36,39010135,39010135
HPM180PA01029996,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGONG SILANGAN",BAGONG SILANGAN ELEMENTARY SCHOOL,74040481,"1810D, 1810E, 1811A, 1811B, 1811C",1,990,722,722,72.92,74040481,74040481
HPM180PA01030063,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PAYATAS",PAYATAS B ELEMENTARY SCHOOL,74040544,"1947A, 1948A, 1949A, 1950A, 1951A",1,980,688,688,70.2,74040544,74040544
HPM180PA01030210,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, GUADALUPE NUEVO",SAN JOSE ELEMENTARY SCHOOL,76020319,"0927B, 0927C, 0928A, 0928B, 0929A",1,824,583,583,70.75,76020319,76020319
HPM180PA01030242,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, ALABANG",ALABANG ELEMENTARY SCHOOL,76030252,"0442D, 0442E, 0443A, 0443B, 0443C, 0443D, 0443E, 0443F, 0444A",0,918,599,599,65.25,76030252,76030252
HPM180PA01030333,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, MARCELO GREEN VILLAGE","BASKETBALL COURT, UPS IV",76040250,"0798A, 0799A, 0800A, 0801A, 0802A",3,877,660,660,75.25,76040250,76040250
HPM180PA01030334,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MASAMBONG",MASAMBONG ELEMENTARY SCHOOL,74040151,"0809A, 0810A, 0811A, 0812A, 0813A, 0814A",1,868,614,614,70.73,74040151,74040151
HPM180PA01030340,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, LONGOS",LONGOS ELEMENTARY SCHOOL,75020172,"0430A,0430B,0431A,0431B",1,779,600,600,77.02,75020172,75020172
HPM180PA01030423,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 181",PANGARAP ELEM. SCHOOL,75010486,"1553B, 1554A, 1554B, 1555A, 1555B",1,786,481,481,61.19,75010486,75010486
HPM180PA01030460,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, SUCAT",SUCAT ELEMENTARY SCHOOL,76030343,"0671A, 0671B, 0671C, 0671D, 0672A",1,974,592,592,60.78,76030343,76030343
HPM180PA01030469,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, OLYMPIA",NICANOR GARCIA ELEMENTARY SCHOOL,76020108,"0364A, 0365A, 0365B, 0365C, 0366A, 0369B",2,921,636,636,69.05,76020108,76020108
HPM180PA01030516,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 81",JOSE RIZAL ELEM. SCHOOL,76050078,"0336A,0337A,0337B,0337C,0337D",1,798,508,508,63.65,76050078,76050078
HPM180PA01030557,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, BAMBANG",BAMBANG ELEMENTARY SCHOOL,74030031,"0106A, 0106B, 0107A, 0109A, 0109P1",1,675,540,540,80.0,74030031,74030031
HPM180PA01030693,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 175",CAMARIN ELEM. SCHOOL,75010254,"0861C, 0861D, 0862A, 0863A, 0864A",1,963,627,627,65.1,75010254,75010254
HPM180PA01030727,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PALANAN",PALANAN ELEMENTARY SCHOOL (MAIN),76020114,"0381A, 0381B, 0381C, 0382A, 0382B, 0383A",0,944,697,697,73.83,76020114,76020114
HPM180PA01030810,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, DON BOSCO",MARY HELP OF CHRISTIAN,76040266,"0872A, 0872B, 0873A, 0873B, 0874A",0,974,652,652,66.94,76040266,76040266
HPM180PA01030811,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN MARTIN DE PORRES",DR. ARCADIO SANTOS NATIONAL HIGH SCHOOL - MAIN,76040363,"1176A, 1176B, 1177A, 1177B, 1178A, 1178B, 1179A",0,919,689,689,74.97,76040363,76040363
HPM180PA01030910,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, ROSARIO",ROSARIO ELEMENTARY SCHOOL,74030369,"1086A, 1087A, 1087B, 1088A, 1088B",0,985,736,736,74.72,74030369,74030369
HPM180PA01031053,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PALTOK",BAYANIHAN ELEMENTARY SCHOOL,74040128,"0682A, 0683A, 0684A, 0685A, 0686A, 0687A",2,927,732,732,78.96,74040128,74040128
HPM180PA01031058,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 175",CAMARIN ELEM. SCHOOL,75010264,"0892A, 0893A, 0894A, 0895A, 0895B",0,914,583,583,63.78,75010264,75010264
